name
Dora Angelaki
Roozbeh Kiani
John Rinzel
György Buzsaki
Michael Landy
Cristina Savin
Dmitri Chklovskii
Michael Long
David Schneider
Christine Constantinople
Wei Ji Ma
David Schoppik
Paul Glimcher
Tony Movshon
Malcolm Semple
Todd Gureckis
Katherine Nagel
Robert Shapley
Michael Hawken
Simon Peron
Shy Shoham
Catherine Hartley
Bijan Pesaran
Eero Simoncelli
Biyu He
Alex Reyes
Xiao-Jing Wang
David Heeger
Dmitry Rinberg
Jonathan Winawer
