source	sourceTitle	target	targetTitle
Catherine Hartley	orig	Johannes Hugo Decker	-
Catherine Hartley	orig	Leah H. Somerville	-
Catherine Hartley	orig	Kate Nussenbaum	-
Catherine Hartley	orig	Justin M. Moscarello	-
Catherine Hartley	orig	Samuel Gershman	edu
Catherine Hartley	orig	Matthew N Hill	-
Catherine Hartley	orig	Franchesca Ramirez	-
Catherine Hartley	orig	Nathaniel D. Daw	edu
Catherine Hartley	orig	Peter Sokol-Hessner	-
Catherine Hartley	orig	Marianne Cumella Reddan	-
Johannes Hugo Decker	-	Ross Otto	ca
Tony Movshon	orig	William T Newsome	-
Tony Movshon	orig	michael shadlen	-
Tony Movshon	orig	Yasmine El-Shamayleh	-
Tony Movshon	orig	Valerio Mante	-
Matteo Carandini	-	Tony Movshon	orig
Edward H Adelson	-	Tony Movshon	orig
Edward H Adelson	-	Eero P Simoncelli	edu
Corey M Ziemba	-	Tony Movshon	orig
Mehrdad Jazayeri	-	Tony Movshon	orig
Robbe L T Goris	-	Tony Movshon	orig
Suzanne McKee	-	Tony Movshon	orig
Dennis M. LEVI	-	Tony Movshon	orig
Romesh Kumbhani	-	Tony Movshon	orig
Luke Hallum	-	Tony Movshon	orig
Colin Blakemore	-	Tony Movshon	orig
Jonathan B Levitt	-	Tony Movshon	orig
Karl Gegenfurtner	-	Tony Movshon	orig
Terrence Sejnowski	edu	Tony Movshon	orig
Biyu J He	orig	Marcus E. Raichle	-
Biyu J He	orig	Maurizio Corbetta	-
Biyu J He	orig	Justin L Vincent	-
Biyu J He	orig	Brian Maniscalco	-
Biyu J He	orig	patrice abry	-
Biyu J He	orig	Patric Hagmann	-
Biyu J He	orig	GUSTAVO DECO	-
Biyu J He	orig	Philippe Ciuciu	-
Biyu J He	orig	Brett L. Foster	-
Biyu J He	orig	Tjeerd W Boonstra	-
Abraham Z. Snyder	-	Biyu J He	orig
Ayelet sapir	-	Biyu J He	orig
Andreas Daffertshofer	-	Biyu J He	orig
Anselm Rothe	-	Brenden Lake	edu
Anselm Rothe	-	Todd Gureckis	orig
BJ Casey, Ph.D.	-	Catherine Hartley	orig
Andrew Drysdale	-	Catherine Hartley	orig
Bruce Fischl or B Fischl	-	Catherine Hartley	orig
Andrew Holmes	-	Catherine Hartley	orig
Alexandra O. Cohen	-	Catherine Hartley	orig
Bijan Pesaran	orig	Partha P Mitra	-
Bijan Pesaran	orig	Sam Musallam	-
Bijan Pesaran	orig	Maneesh Sahani	-
Bijan Pesaran	orig	David Kleinfeld	-
Bijan Pesaran	orig	Krishna V Shenoy	-
Bijan Pesaran	orig	Maureen Hagan	-
Bijan Pesaran	orig	Gerwin Schalk	-
Bijan Pesaran	orig	Peter Brunner	-
Bijan Pesaran	orig	Nathaniel D. Daw	edu
Bijan Pesaran	orig	David A. Markowitz	-
Bijan Pesaran	orig	Ofer Tchernichovski	-
Bijan Pesaran	orig	John Choi	-
Bijan Pesaran	orig	Eric Leuthardt	-
Bijan Pesaran	orig	Thomas Thesen	edu
Bijan Pesaran	orig	Gregory B. Cogan	-
Bijan Pesaran	orig	Orrin Devinsky	-
Bijan Pesaran	orig	Lawrence Cohen	-
Bijan Pesaran	orig	Michale S Fee	-
Aysegul (Ayse) Gunduz	-	Bijan Pesaran	orig
Amy L. Orsborn	-	Bijan Pesaran	orig
Orrin Devinsky	-	Thomas Thesen	edu
Marlene Behrmann	-	Uri Hasson	edu
Allan D. Jepson	-	David J Heeger	orig
Alex Huk (Alexander C Huk, AC Huk)	-	David J Heeger	orig
David J Fleet	-	David J Heeger	orig
Hossein Esteky	-	Roozbeh Kiani	orig
Peter A. Bandettini	-	Roozbeh Kiani	orig
Marieke Mur	-	Roozbeh Kiani	orig
Marieke Mur	-	Nikolaus Kriegeskorte	edu
Nikolaus Kriegeskorte	edu	Roozbeh Kiani	orig
Nikolaus Kriegeskorte	edu	Peter A. Bandettini	-
Jerzy Bodurka	-	Roozbeh Kiani	orig
Jerzy Bodurka	-	Nikolaus Kriegeskorte	edu
Arash Afraz	-	Roozbeh Kiani	orig
Ariel Zylberberg	-	Roozbeh Kiani	orig
Davood Shahrjerdi	-	Roozbeh Kiani	orig
Braden Purcell	-	Roozbeh Kiani	orig
Lila Davachi	-	Uri Hasson	edu
Lila Davachi	-	Todd Gureckis	orig
Kendrick Kay	edu	Nikolaus Kriegeskorte	edu
Fei Xu (徐绯)	-	Todd Gureckis	orig
Doug Markant	-	Todd Gureckis	orig
Doug Markant	-	Jessica B. Hamrick	com
John V McDonnell	-	Todd Gureckis	orig
Robert Goldstone	-	Todd Gureckis	orig
Alexander S Rich	-	Todd Gureckis	orig
Alexander S Rich	-	Jessica B. Hamrick	com
Anna Coenen	-	Todd Gureckis	orig
David J. Halpern	-	Todd Gureckis	orig
Neil Bramley	-	Todd Gureckis	orig
Matthew Crump	-	Todd Gureckis	orig
Azzurra Ruggeri	-	Todd Gureckis	orig
Mordechai Z. Juni	-	Todd Gureckis	orig
Douglas Medin	-	Todd Gureckis	orig
Jay B. Martin	-	Todd Gureckis	orig
George Kachergis	-	Todd Gureckis	orig
Jessica B. Hamrick	com	Joshua B. Tenenbaum	edu
Jessica B. Hamrick	com	John V McDonnell	-
Jessica B. Hamrick	com	Todd Gureckis	orig
Jonathan Winawer	orig	Kaoru Amano	jp
Jonathan Winawer	orig	Kendrick Kay	edu
Aniruddh D. Patel	edu	Jonathan Winawer	orig
