source	sourceTitle	target	targetTitle
Dirk Trauner	orig	Jean-Philip Lumb	-
Dirk Trauner	orig	Marco Stein	-
Dirk Trauner	orig	Herwig Baier	-
Dirk Trauner	orig	Jean Frechet	-
Dirk Trauner	orig	Matthew J Comstock	-
Dirk Trauner	orig	Lee Bishop	-
David Hodson	-	Dirk Trauner	orig
Alexandre Mourot	-	Dirk Trauner	orig
Aubry K. Miller	-	Dirk Trauner	orig
Chambers C. Hughes	-	Dirk Trauner	orig
Claire Wyart	-	Dirk Trauner	orig
Deniz Dalkara	-	Dirk Trauner	orig
Christian Hertweck	-	Dirk Trauner	orig
Elizabeth Spelke	edu	Moira R. Dillon	orig
Daniel C. Hyde	-	Elizabeth Spelke	edu
Daniel C. Hyde	-	Moira R. Dillon	orig
Barbara Landau	edu	Elizabeth Spelke	edu
Barbara Landau	edu	Moira R. Dillon	orig
Thomas Wisniewski	orig	Youssef Zaim Wadghiri, Ph.D.	-
Thomas Wisniewski	orig	William Ted Brown	-
Thomas Wisniewski	orig	Turnbull DH	-
Thomas Wisniewski	orig	karen duff	-
Einar M. Sigurdsson	orig	Thomas Wisniewski	orig
Einar M. Sigurdsson	orig	Youssef Zaim Wadghiri, Ph.D.	-
Einar M. Sigurdsson	orig	Turnbull DH	-
Einar M. Sigurdsson	orig	Laura Morelli	-
Einar M. Sigurdsson	orig	Senthil Kumar krishnaswamy	-
Einar M. Sigurdsson	orig	karen duff	-
Einar M. Sigurdsson	orig	wajithajasmine Rajamohamedsait	-
Einar M. Sigurdsson	orig	Miguel Pappolla MD, PhD	-
Einar M. Sigurdsson	orig	Josien Levenga	-
Einar M. Sigurdsson	orig	Stephen D. Schmidt	-
Einar M. Sigurdsson	orig	Marc Dhenain	-
Einar M. Sigurdsson	orig	Sudhir Paul	-
Einar M. Sigurdsson	orig	Mony J. de Leon	-
Einar M. Sigurdsson	orig	Nancy Muma	-
Mony J. de Leon	-	Thomas Wisniewski	orig
Eleanor Drummond	-	Thomas Wisniewski	orig
Eduardo M Castaño	-	Thomas Wisniewski	orig
Eduardo M Castaño	-	Einar M. Sigurdsson	orig
Ayodeji ASUNI	-	Thomas Wisniewski	orig
Ayodeji ASUNI	-	Einar M. Sigurdsson	orig
Cynthia Lemere	-	Thomas Wisniewski	orig
Jose A. Chabalgoity	-	Thomas Wisniewski	orig
David R. Brown	-	Thomas Wisniewski	orig
David R. Brown	-	Einar M. Sigurdsson	orig
Pierre Aucouturier	-	Thomas Wisniewski	orig
Stephen Strittmatter	-	Thomas Wisniewski	orig
Spiros Efthimiopoulos	-	Thomas Wisniewski	orig
Ira Cohen	-	Thomas Wisniewski	orig
Beatrix Ueberheide	-	Thomas Wisniewski	orig
Berislav Zlokovic	-	Thomas Wisniewski	orig
Shruti Nayak	-	Thomas Wisniewski	orig
Henry Rusinek	-	Thomas Wisniewski	orig
Luis Andres Lesmes	-	Zhong-Lin Lu	orig
Changbing Huang	-	Zhong-Lin Lu	orig
Gui Xue	-	Zhong-Lin Lu	orig
Chuansheng Chen	-	Zhong-Lin Lu	orig
Fang Hou	-	Zhong-Lin Lu	orig
Xiangrui Li	-	Zhong-Lin Lu	orig
Qinghua He (何清华)	-	Zhong-Lin Lu	orig
Frank Manis	-	Zhong-Lin Lu	orig
Michael Dorr	-	Zhong-Lin Lu	orig
Alexander A. Petrov	-	Zhong-Lin Lu	orig
Mark Seidenberg	-	Zhong-Lin Lu	orig
Jay Myung	-	Zhong-Lin Lu	orig
Mark Pitt	-	Zhong-Lin Lu	orig
Feng Xue	-	Zhong-Lin Lu	orig
Pamela Jeter	-	Zhong-Lin Lu	orig
Yukai Zhao	-	Zhong-Lin Lu	orig
Russ Poldrack	-	Zhong-Lin Lu	orig
Wuli Jia	-	Zhong-Lin Lu	orig
Alexandre Pouget	-	Zhong-Lin Lu	orig
Alexandre Pouget	-	Wei Ji Ma / Whee Ky Ma	orig
Alexandre Pouget	-	Roozbeh Kiani	orig
Jiawei Zhou	-	Zhong-Lin Lu	orig
Thomas A. Neubert	orig	W. Todd Miller	-
Thomas A. Neubert	orig	Yimy Amarillo	-
Thomas A. Neubert	orig	Young-Tae Chang	-
Katrin Deinhardt	-	Thomas A. Neubert	orig
Danny Reinberg, Ph.D.	-	Thomas A. Neubert	orig
Benedict CS Cross	-	Thomas A. Neubert	orig
Peter Bond	-	Thomas A. Neubert	orig
Robert Linhardt	-	Thomas A. Neubert	orig
Mohammed S. Razzaque	-	Thomas A. Neubert	orig
Jonathan M Goodman	-	Thomas A. Neubert	orig
Jaroslav Zak	-	Thomas A. Neubert	orig
Eirini Kefalogianni	-	Thomas A. Neubert	orig
Dan Littman	-	Thomas A. Neubert	orig
Rui-Ming Xu	-	Thomas A. Neubert	orig
Stefani Thomas	-	Thomas A. Neubert	orig
Robert Ritch	-	Thomas A. Neubert	orig
S.C. Jameson	-	Thomas A. Neubert	orig
Jeff Beck	-	Wei Ji Ma / Whee Ky Ma	orig
Jeff Beck	-	Roozbeh Kiani	orig
Ronald van den Berg	-	Wei Ji Ma / Whee Ky Ma	orig
Ulrik R. Beierholm	-	Wei Ji Ma / Whee Ky Ma	orig
Hongsup Shin	-	Wei Ji Ma / Whee Ky Ma	orig
Konrad Paul Kording	edu	Wei Ji Ma / Whee Ky Ma	orig
Edward Awh	-	Wei Ji Ma / Whee Ky Ma	orig
Paul Bays	-	Wei Ji Ma / Whee Ky Ma	orig
Masud Husain	-	Wei Ji Ma / Whee Ky Ma	orig
Jamie Roitman	-	Wei Ji Ma / Whee Ky Ma	orig
Jamie Roitman	-	Roozbeh Kiani	orig
Roozbeh Kiani	orig	Wei Ji Ma / Whee Ky Ma	orig
Roozbeh Kiani	orig	michael shadlen	-
Roozbeh Kiani	orig	Tim Hanks	-
Roozbeh Kiani	orig	William T Newsome	-
Roozbeh Kiani	orig	peter latham	-
Tim Hanks	-	Wei Ji Ma / Whee Ky Ma	orig
Anne K. Churchland	edu	Wei Ji Ma / Whee Ky Ma	orig
Anne K. Churchland	edu	Roozbeh Kiani	orig
Anne K. Churchland	edu	michael shadlen	-
Anne K. Churchland	edu	peter latham	-
Anne K. Churchland	edu	Tim Hanks	-
Anne K. Churchland	edu	Jeff Beck	-
Anne K. Churchland	edu	Jamie Roitman	-
Anne K. Churchland	edu	Matteo Carandini	-
Anne K. Churchland	edu	Rishidev Chaudhuri	-
Anne K. Churchland	edu	Xiao-Jing Wang	orig
Anne K. Churchland	edu	L F Abbott	edu
Anne K. Churchland	edu	Justin L Gardner	-
Andreas Tolias	-	Wei Ji Ma / Whee Ky Ma	orig
Shaiyan Keshvari	-	Wei Ji Ma / Whee Ky Ma	orig
Esther Duflo	-	Moira R. Dillon	orig
Daniel D. Dilks	-	Moira R. Dillon	orig
Andrew Persichetti	-	Moira R. Dillon	orig
Brian J. Reilly	-	Moira R. Dillon	orig
Shy Shoham	orig	Xosé Luís Deán-Ben	-
Shy Shoham	orig	Yoav Shechtman	-
Shy Shoham	orig	Vasilis Ntziachristos	-
Nairouz Farah	-	Shy Shoham	orig
Daniel Razansky	-	Shy Shoham	orig
Eitan Kimmel	-	Shy Shoham	orig
Hod Dana	-	Shy Shoham	orig
Daniel H. O'Connor	-	Shy Shoham	orig
Mordechai Segev	-	Shy Shoham	orig
Alex D. Reyes	orig	Jaime de la Rocha	-
Alex D. Reyes	orig	Brent Doiron	-
Alex D. Reyes	orig	Anne-Marie Oswald	-
Alex D. Reyes	orig	Eric Shea-Brown	-
Alex D. Reyes	orig	Krešimir Josić	-
Alex D. Reyes	orig	Alfonso Renart	-
Alex D. Reyes	orig	Kenneth Harris	-
Alex D. Reyes	orig	L F Abbott	edu
Alex D. Reyes	orig	Bard Ermentrout	-
Alex D. Reyes	orig	B Gutkin	fr
Alex D. Reyes	orig	Hysell V. Oviedo	-
Alex D. Reyes	orig	Eberhard Fetz	-
Alex D. Reyes	orig	Jérémie Barral	-
Alex D. Reyes	orig	Chiye Aoki	orig
Alex D. Reyes	orig	Michael Graupner, PhD	-
Alex D. Reyes	orig	Joseph LeDoux	orig
Alex D. Reyes	orig	Heather L. Read	-
Alex D. Reyes	orig	Tomoki Fukai	-
Alfonso Renart	-	Xiao-Jing Wang	orig
B Gutkin	fr	Máté Lengyel	uk
B Gutkin	fr	Bard Ermentrout	-
B Gutkin	fr	Michael Graupner, PhD	-
B Gutkin	fr	Sophie Deneve	-
B Gutkin	fr	Terrence Sejnowski	edu
Joseph LeDoux	orig	Yael Niv	edu
Xiao-Jing Wang	orig	ranulfo romo	-
John D. Murray	-	Xiao-Jing Wang	orig
John Krystal	-	Xiao-Jing Wang	orig
Alan Anticevic	-	Xiao-Jing Wang	orig
Albert Compte	-	Xiao-Jing Wang	orig
Gyorgy Buzsaki	orig	Xiao-Jing Wang	orig
Gyorgy Buzsaki	orig	Thomas Thesen	orig
Daeyeol Lee	-	Xiao-Jing Wang	orig
Stefano Fusi	-	Xiao-Jing Wang	orig
Grega Repovš	-	Xiao-Jing Wang	orig
Genevieve Yang	-	Xiao-Jing Wang	orig
Alberto Bernacchia	-	Xiao-Jing Wang	orig
Michael W. Cole	-	Xiao-Jing Wang	orig
Chung-Chuan Lo	-	Xiao-Jing Wang	orig
Rishidev Chaudhuri	-	Xiao-Jing Wang	orig
David J. Freedman	-	Xiao-Jing Wang	orig
H Francis Song	-	Xiao-Jing Wang	orig
Jesper Tegnér	-	Xiao-Jing Wang	orig
Paul Miller	-	Xiao-Jing Wang	orig
Henry Kennedy	-	Xiao-Jing Wang	orig
James L. McClelland	edu	Mark Seidenberg	-
Haim Sompolinsky	-	Kanaka Rajan	edu
Haim Sompolinsky	-	Robert M Shapley	orig
Elizabeth Phelps	-	Nathaniel D. Daw	edu
Elizabeth Phelps	-	Ross Otto	ca
Elizabeth Phelps	-	Yael Niv	edu
Samuel Gershman	edu	Yael Niv	edu
Samuel Gershman	edu	Tomer Ullman	-
Ross Otto	ca	Samuel Gershman	edu
Ross Otto	ca	Todd Gureckis	orig
Donald A Wilson	orig	Regina Sullivan	orig
Donald A Wilson	orig	Ralph A Nixon	-
Donald A Wilson	orig	Robert Rennaker	-
Donald A Wilson	orig	Rankin Catharine H	-
Donald A Wilson	orig	Rosemarie E. Perry	-
Donald A Wilson	orig	Jonas Olofsson	-
Donald A Wilson	orig	Nadine Ravel	-
Donald A Wilson	orig	Peter Lakatos	-
Donald A Wilson	orig	Thierry Thomas-Danguin	-
Donald A Wilson	orig	Edi Barkai	-
Naoshige Uchida	-	Samuel Gershman	edu
Brenden Lake	orig	Samuel Gershman	edu
Brenden Lake	orig	Joshua B. Tenenbaum	edu
Brenden Lake	orig	Ruslan Salakhutdinov	-
Brenden Lake	orig	Tomer Ullman	-
Brenden Lake	orig	Marco Baroni	-
Brenden Lake	orig	Todd Gureckis	orig
Brenden Lake	orig	Jason Gross	-
Brenden Lake	orig	James L. McClelland	edu
Brenden Lake	orig	Reuben Feinman	-
Brenden Lake	orig	Wojciech Zaremba	-
Brenden Lake	orig	Rob Fergus	edu
Brenden Lake	orig	Chia-ying (Jackie) Lee	-
Brenden Lake	orig	James Glass	-
Brenden Lake	orig	Tal Linzen	-
Brenden Lake	orig	Brian D Ziebart	-
Brenden Lake	orig	Mathew Monfort	-
Brenden Lake	orig	Gautam Vallabha	-
Brenden Lake	orig	Kanishk Gandhi	-
Brenden Lake	orig	Neil D. Lawrence	-
Arthur B. Markman	-	Samuel Gershman	edu
Arthur B. Markman	-	Ross Otto	ca
Arthur B. Markman	-	Todd Gureckis	orig
Mario Svirsky	orig	Matthew Fitzgerald	-
Mario Svirsky	orig	Steven B. Chin	-
Mario Svirsky	orig	Michael I. Jordan	edu
Mario Svirsky	orig	Rachael Frush Holt	-
Mario Svirsky	orig	Thomas M. Talavage	-
Mario Svirsky	orig	Richard A. Wright	-
Mario Svirsky	orig	Stefan A. Frisch	-
Mario Svirsky	orig	Robert Froemke	orig
Mario Svirsky	orig	Reiner Wilhelms-Tricarico	-
Mario Svirsky	orig	Michael A Long	orig
Mario Svirsky	orig	Matthew A. Howard III	-
Elad Sagi	-	Mario Svirsky	orig
Chin-Tuan Tan	-	Mario Svirsky	orig
Derek Houston	-	Mario Svirsky	orig
Landsberger David M	-	Mario Svirsky	orig
Laurence Leonard	-	Mario Svirsky	orig
E. Katelyn Glassman	-	Mario Svirsky	orig
Jeremy Loebach	-	Mario Svirsky	orig
Mahan Azadpour	-	Mario Svirsky	orig
Kalman Katlowitz	-	Mario Svirsky	orig
Bradley C. Love	uk	Ross Otto	ca
Bradley C. Love	uk	Todd Gureckis	orig
Catherine Hartley	orig	Ross Otto	ca
Catherine Hartley	orig	Elizabeth Phelps	-
Catherine Hartley	orig	John Gabrieli	-
Catherine Hartley	orig	Gary Glover	-
Catherine Hartley	orig	John E. Desmond	-
Catherine Hartley	orig	Johannes Hugo Decker	-
Catherine Hartley	orig	Leah H. Somerville	-
Catherine Hartley	orig	Kate Nussenbaum	-
Catherine Hartley	orig	Justin M. Moscarello	-
Catherine Hartley	orig	Samuel Gershman	edu
Catherine Hartley	orig	Matthew N Hill	-
Catherine Hartley	orig	Franchesca Ramirez	-
Catherine Hartley	orig	Nathaniel D. Daw	edu
Catherine Hartley	orig	Peter Sokol-Hessner	-
Catherine Hartley	orig	Marianne Cumella Reddan	-
Johannes Hugo Decker	-	Ross Otto	ca
Tony Movshon	orig	William T Newsome	-
Tony Movshon	orig	michael shadlen	-
Tony Movshon	orig	Yasmine El-Shamayleh	-
Tony Movshon	orig	Valerio Mante	-
