source	sourceTitle	target	targetTitle
Daniel Wolpert	edu	Paul Bays	-
Daniel Wolpert	edu	Patrick Haggard	-
Daniel Wolpert	edu	michael shadlen	-
Alexandre Pouget	-	Zhong-Lin Lu	edu
Alexandre Pouget	-	Wei Ji Ma / Whee Ky Ma	edu
Alexandre Pouget	-	Roozbeh Kiani	edu
Jeff Beck	-	Wei Ji Ma / Whee Ky Ma	edu
Jeff Beck	-	Roozbeh Kiani	edu
Ronald van den Berg	-	Wei Ji Ma / Whee Ky Ma	edu
Ulrik R. Beierholm	-	Wei Ji Ma / Whee Ky Ma	edu
Hongsup Shin	-	Wei Ji Ma / Whee Ky Ma	edu
Konrad Paul Kording	edu	Wei Ji Ma / Whee Ky Ma	edu
Konrad Paul Kording	edu	Lee E. Miller	edu
Konrad Paul Kording	edu	Thaddeus R. Cybulski MD, PhD	edu
Konrad Paul Kording	edu	Peter König	-
Konrad Paul Kording	edu	Wei Kunlin	-
Konrad Paul Kording	edu	Max Berniker	-
Konrad Paul Kording	edu	Mark V. Albert	-
Konrad Paul Kording	edu	Sohrab Saeb	-
Konrad Paul Kording	edu	Wolfgang Einhäuser Treyer	-
Konrad Paul Kording	edu	Pavan Ramkumar	edu
Edward Awh	-	Wei Ji Ma / Whee Ky Ma	edu
Paul Bays	-	Wei Ji Ma / Whee Ky Ma	edu
Masud Husain	-	Wei Ji Ma / Whee Ky Ma	edu
Jamie Roitman	-	Wei Ji Ma / Whee Ky Ma	edu
Jamie Roitman	-	Roozbeh Kiani	edu
Roozbeh Kiani	edu	Wei Ji Ma / Whee Ky Ma	edu
Roozbeh Kiani	edu	michael shadlen	-
Roozbeh Kiani	edu	Tim Hanks	-
Roozbeh Kiani	edu	William T Newsome	-
Roozbeh Kiani	edu	peter latham	-
Tim Hanks	-	Wei Ji Ma / Whee Ky Ma	edu
Anne K. Churchland	edu	Wei Ji Ma / Whee Ky Ma	edu
Anne K. Churchland	edu	Roozbeh Kiani	edu
Anne K. Churchland	edu	Matthew T Kaufman	edu
Anne K. Churchland	edu	michael shadlen	-
Anne K. Churchland	edu	peter latham	-
Anne K. Churchland	edu	Tim Hanks	-
Anne K. Churchland	edu	David Raposo	-
Anne K. Churchland	edu	Jeff Beck	-
Anne K. Churchland	edu	Jamie Roitman	-
Anne K. Churchland	edu	Ruben Moreno-Bote	-
Anne K. Churchland	edu	Matteo Carandini	-
Anne K. Churchland	edu	Jan Drugowitsch	-
Anne K. Churchland	edu	Paul Schrater	-
Anne K. Churchland	edu	Rishidev Chaudhuri	-
Anne K. Churchland	edu	Xiao-Jing Wang	edu
Anne K. Churchland	edu	Kachi Odoemene	-
Anne K. Churchland	edu	Natasha Kirkham	-
Anne K. Churchland	edu	Tianming Yang	-
Anne K. Churchland	edu	L F Abbott	edu
Anne K. Churchland	edu	Justin L Gardner	-
Anne K. Churchland	edu	Nicholas Priebe	-
Andreas Tolias	-	Wei Ji Ma / Whee Ky Ma	edu
Shaiyan Keshvari	-	Wei Ji Ma / Whee Ky Ma	edu
George Church	edu	Thaddeus R. Cybulski MD, PhD	edu
George Church	edu	Konrad Paul Kording	edu
George Church	edu	Joshua I. Glaser	edu
L F Abbott	edu	Matthew T Kaufman	edu
Gyorgy Buzsaki	org	Xiao-Jing Wang	edu
Gyorgy Buzsaki	org	Thomas Thesen	edu
Rishidev Chaudhuri	-	Xiao-Jing Wang	edu
Ben Seymour	uk	Nathaniel D. Daw	edu
Ben Seymour	uk	Samuel Gershman	edu
Ben Seymour	uk	Kaoru Amano	jp
Ben Seymour	uk	Raymond J Dolan	uk
Ben Seymour	uk	Chris Frith	-
Ben Seymour	uk	Benedetto De Martino	-
Raymond J Dolan	uk	Samuel Gershman	edu
Raymond J Dolan	uk	Steve Fleming	uk
Samuel Gershman	edu	Tomer Ullman	-
Brenden Lake	edu	Samuel Gershman	edu
Brenden Lake	edu	Joshua B. Tenenbaum	edu
Brenden Lake	edu	Ruslan Salakhutdinov	-
Brenden Lake	edu	Tomer Ullman	-
Tony Movshon	edu	William T Newsome	-
Tony Movshon	edu	michael shadlen	-
Matteo Carandini	-	Tony Movshon	edu
Biyu J He	org	Marcus E. Raichle	-
Biyu J He	org	Maurizio Corbetta	-
Biyu J He	org	Justin L Vincent	-
Biyu J He	org	Brian Maniscalco	-
Biyu J He	org	patrice abry	-
Biyu J He	org	Patric Hagmann	-
Biyu J He	org	GUSTAVO DECO	-
Biyu J He	org	Philippe Ciuciu	-
Biyu J He	org	Brett L. Foster	-
Biyu J He	org	Tjeerd W Boonstra	-
Abraham Z. Snyder	-	Biyu J He	org
Ayelet sapir	-	Biyu J He	org
Andreas Daffertshofer	-	Biyu J He	org
Lee E. Miller	edu	Pavan Ramkumar	edu
Ian Stevenson	-	Lee E. Miller	edu
Ian Stevenson	-	Konrad Paul Kording	edu
Joshua I. Glaser	edu	Thaddeus R. Cybulski MD, PhD	edu
Joshua I. Glaser	edu	Konrad Paul Kording	edu
Joshua I. Glaser	edu	Lee E. Miller	edu
Joshua I. Glaser	edu	Pavan Ramkumar	edu
Brad Zamft	team	Thaddeus R. Cybulski MD, PhD	edu
Brad Zamft	team	Konrad Paul Kording	edu
Brad Zamft	team	George Church	edu
Brad Zamft	team	Joshua I. Glaser	edu
Adam H Marblestone	edu	Thaddeus R. Cybulski MD, PhD	edu
Adam H Marblestone	edu	Brad Zamft	team
Adam H Marblestone	edu	Konrad Paul Kording	edu
Adam H Marblestone	edu	George Church	edu
Adam H Marblestone	edu	Joshua I. Glaser	edu
Domenica Bueti	it	Geraint Rees	-
Geraint Rees	-	Steve Fleming	uk
Michael Silver	-	Rachel Denison	edu
Dobromir Rahnev	edu	Rachel Denison	edu
Dobromir Rahnev	edu	Hakwan Lau	edu
Dobromir Rahnev	edu	Floris de Lange	-
Dobromir Rahnev	edu	Peter Kok	-
Dobromir Rahnev	edu	Mark D'Esposito	-
Dobromir Rahnev	edu	Tobias H. Donner	-
Dobromir Rahnev	edu	Justin Riddle	-
Dobromir Rahnev	edu	Li Yan McCurdy	-
Dobromir Rahnev	edu	Mahzarin R. Banaji, Richard Clarke C...	-
Dobromir Rahnev	edu	Eugene Caruso	-
Dobromir Rahnev	edu	Guillermo Solovey	-
Dobromir Rahnev	edu	Jorge Morales	-
Elise Piazza	-	Rachel Denison	edu
Essa Yacoub	-	Rachel Denison	edu
David A Feinberg	-	Rachel Denison	edu
Anna C Nobre	-	Rachel Denison	edu
Anna C Nobre	-	Dean Buonomano	edu
Jon Driver (1962-2011)	-	Rachel Denison	edu
Christian C. Ruff	-	Rachel Denison	edu
Gerrit W. Maus	-	Rachel Denison	edu
David Whitney	-	Rachel Denison	edu
Amit Yashar	-	Rachel Denison	edu
Jason Samaha	edu	Rachel Denison	edu
Bijan Pesaran	edu	Partha P Mitra	-
Bijan Pesaran	edu	Sam Musallam	-
Bijan Pesaran	edu	Maneesh Sahani	-
Bijan Pesaran	edu	David Kleinfeld	-
Bijan Pesaran	edu	Krishna V Shenoy	-
Bijan Pesaran	edu	Maureen Hagan	-
Bijan Pesaran	edu	Gerwin Schalk	-
Bijan Pesaran	edu	Peter Brunner	-
Bijan Pesaran	edu	Nathaniel D. Daw	edu
Bijan Pesaran	edu	David A. Markowitz	-
Bijan Pesaran	edu	Ofer Tchernichovski	-
Bijan Pesaran	edu	John Choi	-
